,CMIP6 Compound Name,Physical Parameter,Title,Description,Dimensions,Spatial Shape,Coordinates,Temporal Shape,Cell Methods,Cell Measures,KET comments,correct dimensions,correct cell methods,variableRootDD (if different from Phys. Param.),Region input,recommended reporting grid,Region,Review Requested,dimensions for determining branding suffix,cell_methods for determining branding suffix,variableRootDD,branded variable name
0,AERmon.abs550aer,abs550aer,Ambient Aerosol Absorption Optical Thickness at 550nm,Optical thickness of atmospheric aerosols at wavelength 550 nanometers.,"longitude, latitude, time, lambda550nm",Global field (single level),lambda550nm,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time, lambda550nm",area: time: mean,abs550aer,abs550aer_tavg-u-hxy-u
1,AERmon.abs550bc,abs550bc,black carbon aaod@550nm,This is the black carbon aerosol optical depth at 550nm due to absorption,"longitude, latitude, time, lambda550nm",Global field (single level),lambda550nm,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time, lambda550nm",area: time: mean,abs550bc,abs550bc_tavg-u-hxy-u
2,AERmon.abs550dust,abs550dust,dust absorption aerosol optical depth @550nm,This is the dust aerosol optical depth at 550nm due to absorption ,"longitude, latitude, time, lambda550nm",Global field (single level),lambda550nm,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time, lambda550nm",area: time: mean,abs550dust,abs550dust_tavg-u-hxy-u
3,AERmon.abs550no3,abs550no3,nitrate aaod@550nm,This is the nitrate aerosol optical depth at 550nm due to absorption,"longitude, latitude, time, lambda550nm",Global field (single level),lambda550nm,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time, lambda550nm",area: time: mean,abs550no3,abs550no3_tavg-u-hxy-u
4,AERmon.abs550oa,abs550oa,particulate organic matter aaod@550nm,This is the particular organic matter aerosol optical depth at 550nm due to absorption,"longitude, latitude, time, lambda550nm",Global field (single level),lambda550nm,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time, lambda550nm",area: time: mean,abs550oa,abs550oa_tavg-u-hxy-u
5,AERmon.abs550so4,abs550so4,sulfate aaod@550nm,This is the sulphate aerosol optical depth at 550nm due to absorption,"longitude, latitude, time, lambda550nm",Global field (single level),lambda550nm,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time, lambda550nm",area: time: mean,abs550so4,abs550so4_tavg-u-hxy-u
6,AERmon.abs550ss,abs550ss,sea salt aaod@550nm,This is the sea salt aerosol optical depth at 550nm due to absorption,"longitude, latitude, time, lambda550nm",Global field (single level),lambda550nm,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time, lambda550nm",area: time: mean,abs550ss,abs550ss_tavg-u-hxy-u
7,Omon.absscint,absscint,Integral wrt depth of seawater absolute salinity expressed as salt mass content,"This is a fundamental aspect of the changes in the hydrological cycle and their impact on the oceans, and due to new numerical schemes and vertical discretizations, it is important to calculate it consistently with the model formulation. ","longitude, latitude, swplayers, swplayers, time, depth0m, depth300m, depth700m, depth2000m",Global ocean field on layers,"depth0m,depth300m,depth700m,depth2000m",time-intv,area: mean where sea,area: areacello,"incorrect cell_methods and coordinates.  Are depth0m, depth300m, depth700m, depth2000m the swplayers requested values?   What is meant by a layer of depth 0?  Perhaps depth0m could be replaced by depth1m.  I presume observations are made through a finite thickness.  Also replace depth*** with olayer*** (e.g., olayer300m).  For compatabiliity with other dimensions replace ""swplayers"" with ""oplev4""","longitude, latitude, oplev4, time","The cell_methods should include a time ""method"" (is it ""time: mean""?)",,,ocean,glb,,"longitude, latitude, oplev4, time","The cell_methods should include a time ""method"" (is it ""time: mean""?)",absscint,absscint_tavg-u-hxy-u
8,ImonAnt.acabf,acabf,Surface Mass Balance Flux,"quantity averaged over ice sheet (grounded ice sheet and floating ice shelf) only. Needed to analyse the impact of downscaling methods, and as forcing for ISM","xant, yant, time",Polar stereographic grid (Antarctic),,time-intv,area: time: mean where ice_sheet,area: areacellg,see *** comment below all listed variables.  ,"longitude, latitude, time",,,,ice sheet,ant,,"longitude, latitude, time",area: time: mean where ice_sheet,acabf,acabf_tavg-u-hxy-is
9,ImonGre.acabf,acabf,Surface Mass Balance Flux,"quantity averaged over ice sheet (grounded ice sheet and floating ice shelf) only. Needed to analyse the impact of downscaling methods, and as forcing for ISM","xgre, ygre, time",Polar stereographic grid (Greenland),,time-intv,area: time: mean where ice_sheet,area: areacellg,"see *** comment below all listed variables.  When corrrected, this duplicates variable above and will not appear separately.","longitude, latitude, time",,,,ice sheet,gre,,"longitude, latitude, time",area: time: mean where ice_sheet,acabf,acabf_tavg-u-hxy-is
